,id,utcDate,status,matchday,stage,group,lastUpdated,referees,competition.id,competition.name,season.id,season.startDate,season.endDate,season.currentMatchday,odds.msg,score.winner,score.duration,score.fullTime.homeTeam,score.fullTime.awayTeam,score.halfTime.homeTeam,score.halfTime.awayTeam,score.extraTime.homeTeam,score.extraTime.awayTeam,score.penalties.homeTeam,score.penalties.awayTeam,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name
51,309853,2021-03-14T17:00:00Z,FINISHED,27.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Giampaolo Calvarese,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,3,0,3,,,,,104,Cagliari Calcio,109,Juventus FC
52,315759,2021-03-09T20:00:00Z,FINISHED,,ROUND_OF_16,,2021-03-23T16:30:15Z,Björn Kuipers,2001,UEFA Champions League,642,2020-08-08,2021-05-29,6,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,EXTRA_TIME,3,2,0,1,1.0,1.0,,,109,Juventus FC,503,FC Porto
53,309839,2021-03-06T19:45:00Z,FINISHED,26.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Davide Massa,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,1,1,1,,,,,109,Juventus FC,110,SS Lazio
54,309829,2021-03-02T19:45:00Z,FINISHED,25.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Juan Sacchi,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,0,0,0,,,,,109,Juventus FC,488,Spezia Calcio
55,309827,2021-02-27T19:45:00Z,FINISHED,24.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Fabio Maresca,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,0,0,,,,,450,Hellas Verona FC,109,Juventus FC
56,309809,2021-02-22T19:45:00Z,FINISHED,23.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Valerio Marini,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,0,2,0,,,,,109,Juventus FC,472,FC Crotone
57,315758,2021-02-17T20:00:00Z,FINISHED,,ROUND_OF_16,,2021-02-18T14:30:02Z,Carlos del Cerro,2001,UEFA Champions League,642,2020-08-08,2021-05-29,6,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,1,1,0,,,,,503,FC Porto,109,Juventus FC
58,309799,2021-02-13T17:00:00Z,FINISHED,22.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Daniele Doveri,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,1,0,1,0,,,,,113,SSC Napoli,109,Juventus FC
59,309789,2021-02-06T17:00:00Z,FINISHED,21.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Daniele Orsato,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,0,1,0,,,,,109,Juventus FC,100,AS Roma
60,309783,2021-01-30T17:00:00Z,FINISHED,20.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Michael Fabbri,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,2,0,1,,,,,584,UC Sampdoria,109,Juventus FC
61,309769,2021-01-24T11:30:00Z,FINISHED,19.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Juan Sacchi,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,0,1,0,,,,,109,Juventus FC,103,Bologna FC 1909
62,309760,2021-01-17T19:45:00Z,FINISHED,18.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Daniele Doveri,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,2,0,1,0,,,,,108,FC Internazionale Milano,109,Juventus FC
63,309749,2021-01-10T19:45:00Z,FINISHED,17.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Davide Massa,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,1,0,0,,,,,109,Juventus FC,471,US Sassuolo Calcio
64,309741,2021-01-06T19:45:00Z,FINISHED,16.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Massimiliano Irrati,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,1,3,1,1,,,,,98,AC Milan,109,Juventus FC
65,309729,2021-01-03T19:45:00Z,FINISHED,15.0,REGULAR_SEASON,Regular Season,2021-07-14T16:20:21Z,Piero Giacomelli,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,1,1,0,,,,,109,Juventus FC,115,Udinese Calcio
66,309719,2020-12-22T19:45:00Z,FINISHED,14.0,REGULAR_SEASON,Regular Season,2020-12-23T02:15:04Z,Federico La Penna,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,3,0,1,,,,,109,Juventus FC,99,ACF Fiorentina
67,309712,2020-12-19T19:45:00Z,FINISHED,13.0,REGULAR_SEASON,Regular Season,2020-12-20T01:45:12Z,Giampaolo Calvarese,2019,Serie A,638,2020-09-19,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,4,0,2,,,,,112,Parma Calcio 1913,109,Juventus FC
